text,label
"can't get enough of libidinous young city dwellers ? try this obscenely bad dark comedy , so crass that it makes edward burns' sidewalks of new york look like oscar wilde .",0
"for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped .",1
the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) thirdemotionally belittle a cinema classic . sometimes shorter is better .,1
at its best early on as it plays the culture clashes between the brothers .,1
"screenwriter chris ver weil's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",0
"if shayamalan wanted to tell a story about a man who loses his faith , why didn't he just do it , instead of using bad sci-fi as window dressing ?",0
the tenderness of the piece is still intact .,1
"this is a film well worth seeing , talking and singing heads and all .",1
a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare's plays .,1
"Subject: meter # 9833
daren ,
silver in gas control called me and said the flow at meter # 9833 was approx .
5 , 400 / d for june . the nom is 13 , 171 / d . do you want me to adjust june ? the
nom for july is 5 , 398 / d . vance listed 11 , 068 / d on the preliminary july
spreadsheet but he called me and revised it to 5 , 398 / d . the c / p is helmerich
& payne .
bob",1
it's such a mechanical endeavor [that] it never bothers to question why somebody might devote time to see it .,0
"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results .",1
"self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .",0
"Subject: duke energy meter 6722 may 2001
meter 6722 ( not sure if you need this ) - julie
break down for duke - three rivers / live oak
cody - 4 , 250
samson - 800
shoreline duer wagon - 470
shoreline amerac - 96 total
bp - 4 , 987
detm - 0
total for meter 6722 of 10 , 603",1
"Subject: global octanes
finished visiting with counsel . . . . . we will need to start with the buyback
for global octanes 9 am tomorrow",1
"but the power of these [subjects] is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film's narrative .",0
"Subject: park / lend acct on pgev , deal tickets
i have created the following tickets to account for the physical and economic impact of the ena texas pleo 0004 agreement ( $ . 03 / day / dth ) .
purch from cpr storage ( lend ) - 758659
sale to cpr storage ( park ) - 758600
xport usage ( $ . 03 / dth - meter unassigned on rec . - 758803
please let me know if you have any questions / comments .
mary",1
"makes s&m seem very romantic , and maggie gyllenhaal is a delight .",1
the two leads chomp considerably more scenery with their acting than fire-breathing monsters barbecue with their breath . . .,1
"the pairing does sound promising in theory . . . but their lack of chemistry makes eddie murphy and robert deniro in showtime look like old , familiar vaudeville partners .",0
jacquot's tosca is a treat .,1
the action clichés just pile up .,0
"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0
"this is not chabrol's best , but even his lesser works outshine the best some directors can offer .",1
"though it draws several decent laughs , it's low-cal woody at best .",0
richard gere and diane lane put in fine performances as does french actor oliver martinez .,1
". . . an hour-and-a-half of inoffensive , unmemorable filler .",0
eric schweig and graham greene both exude an air of dignity that's perfect for the proud warrior that still lingers in the souls of these characters .,1
"shamelessly resorting to pee-related sight gags that might even cause tom green a grimace ; still , myer's energy and the silliness of it all eventually prevail",1
"in the real world , an actor this uncharismatically beautiful would have a résumé loaded with credits like "" girl in bar #3 . """,0
did the film inform and educate me ? yes . did it move me to care about what happened in 1915 armenia ? no . and that is where ararat went astray .,0
a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino .,1
"chilling but uncommercial look into the mind of jeffrey dahmer , serial killer .",1
"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive .",0
"Subject: eastrans nomination change effective 9 / 16 / 00
please decrease deliveries to eastrans to 0 mmbtu / dy for 9 / 16 / 00 and maintain
at
0 until otherwise notified .
the redeliveries will be 0 as well .
fuels cotton valley gas will be valued per paragraph 3 of the contract price
( per mmbtu ) section in the transaction agreement .",0
"Subject: cleburne / tenaska iv outage
- - - - - - - - - - - - - - - - - - - - - - forwarded by mark mccoy / corp / enron on 10 / 17 / 2000 11 : 11
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
mike mazowita
10 / 17 / 2000 11 : 07 am
to : mark mccoy / corp / enron @ enron
cc : ken . riesz @ naes . com
subject : cleburne / tenaska iv outage
mark ,
i understand that you need a note for your files regarding the tenaska plant .
on saturday , october 14 , 2000 at 5 : 14 am , the plant had a catastrophic
failure of the gas turbine . the entire plant is essentially shutdown until
these repairs can be made . this outage will last a minimum of 10 days . ken
riesz will keep you informed of our progress .
i hope this is what you need . let me know .
michael mazowita",1
"a wildly erratic drama with sequences that make you wince in embarrassment and others , thanks to the actors , that are quite touching .",0
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand .",1
"a tender , witty , captivating film about friendship , love , memory , trust and loyalty .",1
"like many such biographical melodramas , it suffers from the awkwardness that results from adhering to the messiness of true stories .",0
"a comedy that is warm , inviting , and surprising .",1
a weird and wonderful comedy .,1
a relative letdown .,0
"an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he'd gone the way of don simpson .",0
the dangerous lives of altar boys' take on adolescence feels painfully true .,1
"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",1
"this is lightweight filmmaking , to be sure , but it's pleasant enough -- and oozing with attractive men .",1
"moonlight mile gives itself the freedom to feel contradictory things . it is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",1
"plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .",0
"the idea of 49-year-old roberto benigni playing the wooden boy pinocchio is scary enough . the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .",0
new best friend shouldn't have gone straight to video ; it should have gone straight to a mystery science theater 3000 video .,0
"passionate , irrational , long-suffering but cruel as a tarantula , helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats .",1
the director has injected self-consciousness into the proceedings at every turn . the results are far more alienating than involving .,0
"an honest , sensitive story from a vietnamese point of view .",1
"Subject: entex transistion
the purpose of the email is to recap the kickoff meeting held on yesterday
with members from commercial and volume managment concernig the entex account :
effective january 2000 , thu nguyen ( x 37159 ) in the volume managment group ,
will take over the responsibility of allocating the entex contracts . howard
and thu began some training this month and will continue to transition the
account over the next few months . entex will be thu ' s primary account
especially during these first few months as she learns the allocations
process and the contracts .
howard will continue with his lead responsibilites within the group and be
available for questions or as a backup , if necessary ( thanks howard for all
your hard work on the account this year ! ) .
in the initial phases of this transistion , i would like to organize an entex
"" account "" team . the team ( members from front office to back office ) would
meet at some point in the month to discuss any issues relating to the
scheduling , allocations , settlements , contracts , deals , etc . this hopefully
will give each of you a chance to not only identify and resolve issues before
the finalization process , but to learn from each other relative to your
respective areas and allow the newcomers to get up to speed on the account as
well . i would encourage everyone to attend these meetings initially as i
believe this is a critical part to the success of the entex account .
i will have my assistant to coordinate the initial meeting for early 1 / 2000 .
if anyone has any questions or concerns , please feel free to call me or stop
by . thanks in advance for everyone ' s cooperation . . . . . . . . . . .
julie - please add thu to the confirmations distributions list",1
"Subject: tenaska iv 10 / 00
we have actuals . the larger of the two volumes is 1 , 395 , 000 , which is
45 , 000 / day , so the demand rate in deal 514353 is fine . i am having a
problem , though , with the way it is coming to settlements . it is showing up
with a jan 2003 delivery date . i think the demand fee needs to be on 10 / 1
only . right now , it is on a line with a date of 10 / 1 / 00 to 12 / 31 / 36 . i
think this is confusing the system some how . also , we still need the
purchase deal for tenaska iv . it should be for a demand fee of $ 2 , 571 , 135 . 73
booked to the cleburne desk . we actually owe $ 1 , 798 , 389 . 73 , but i need to
net the tenaska iv sales with the purchase to clear those receivables . james
is calling me every day asking for an update . do you know when we will be
able to get this in the system ? i have attached my spreadsheet so you can
see the numbers .
megan",0
"Subject: 06 / 01 ena gas sales on hpl , to d & h gas company
good morning daren :
i received a fax from d & h for 06 / 01 deliveries ( hplc sales to d & h ) , however
there is no sales draft in unify for this sale . please advise if the 360
mmbtu reflected on d & h ' s 06 / 01 allocations , for hpl meter # 428 - deweyville .
tx . a valid hplc sale and if so , who do i contact about getting deal in
sitara and scheduled for hplc , so as to invoice d & h this month !
thanks !
tess ray ( tnray @ aep . com )
aep - houston pipe line co .
1201 louisiana
suite 1200
houston , texas 77002
tel : 832 - 668 - 1248
fax : 832 - 668 - 1123
- - - - - forwarded by tessie n ray / aepin on 07 / 13 / 01 09 : 09 am - - - - -
| | "" farmer , daren j . "" | |
| | | |
| | | cc : |
| | 06 / 15 / 01 11 : 07 am | subject : |
| | | fw : fw : 05 / 01 ena gas |
| | | sales on hpl , to d & |
| | | h gas company |
> - - - - - original message - - - - -
> from : hernandez , elizabeth l .
> sent : friday , june 15 , 2001 11 : 05 am
> to : farmer , daren j .
> subject : fw : fw : 05 / 01 ena gas sales on hpl , to d & h gas company
>
> deal 70120 has been extended through may 31 , 2001 .
>
>
> - - - - - original message - - - - -
> from : hernandez , elizabeth l .
> sent : friday , june 15 , 2001 9 : 14 am
> to : richardson , stacey
> subject : fw : fw : 05 / 01 ena gas sales on hpl , to d & h gas company
>
> can you help me out with this .
>
> - - - - - original message - - - - -
> from : lambert , karen
> sent : friday , june 15 , 2001 9 : 11 am
> to : hernandez , elizabeth l .
> subject : fw : fw : 05 / 01 ena gas sales on hpl , to d huthmacher , tammie ; aalland @ aep . com
> subject : re : fw : 05 / 01 ena gas sales on hpl , to d & h gas company
>
> the contract ( 96007529 ) should have expired under ena , but because of
> the timing of the expiration , it got "" assigned "" to aep / hpl ( 96060798 ) .
> therefore , for informational / historical purposes , i extended the term
> under 96060798 thru 5 / 31 / 01 .
>
> someone from linda ' s group will have to extend the term under the
> original contract in order for the deal to be attached .
>
>
>
>
> from : karen lambert / enron @ enronxgate on 06 / 14 / 2001 04 : 34 pm
> to : linda s bryan / enron @ enronxgate , cheryl dudley / hou / ect @ ect
> cc : tammie huthmacher / enron @ enronxgate
>
> subject : fw : 05 / 01 ena gas sales on hpl , to d & h gas company
>
> fyi
>
> - - - - - original message - - - - -
> from : hernandez , elizabeth l .
> sent : thursday , june 14 , 2001 1 : 44 pm
> to : lambert , karen
> cc : farmer , daren j .
> subject : fw : 05 / 01 ena gas sales on hpl , to d & h gas company
> importance : high
>
> unable to add may production as contract needs to be exteneded .
>
> - - - - - original message - - - - -
> from : farmer , daren j .
> sent : thursday , june 14 , 2001 1 : 33 pm
> to : hernandez , elizabeth l .
> subject : fw : 05 / 01 ena gas sales on hpl , to d & h gas company
> importance : high
>
> elizabeth ,
>
> can you extend the contract with d & h under deal 70120 for 1 month to
> cover this volume ?
>
> d
>
> - - - - - original message - - - - -
> from : tnray @ aep . com @ enron
> [ mailto : imceanotes - tnray + 40 aep + 2 ecom + 40 enron @ enron . com ]
> sent : thursday , june 14 , 2001 11 : 44 am
> to : dfarmer @ enron . com
> subject : re : 05 / 01 ena gas sales on hpl , to d & h gas company
> importance : high
>
> daren ,
> per my e - mail to julie and her reply ( see below ) , can you help me with
> this ?
>
> thanks !
> tess
> - - - - - forwarded by tessie n ray / aepin on 06 / 14 / 01 11 : 44 am - - - - -
>
> julie l meyers
> to : tessie n
> ray / aepin @ aepin
> 06 / 14 / 01 10 : 58 cc :
> am subject : re : 05 / 01 ena
> gas sales on hpl , to d & h gas company
> ( document link : tessie n ray )
>
>
>
>
> i did a search and found no deals for may for this counterparty . call
> daren farmer at 713 - 853 - 6905 , and he could probably put the deal in
> for
> you .
>
>
>
>
> ( embedded image moved to file : picl 6827 . pcx ) tessie n ray
> 06 / 13 / 2001 03 : 44 pm
>
>
> to : julie l meyers / hol / aepin @ aepin
> cc : elizabeth . hernandez @ enron . com
>
> subject : 05 / 01 ena gas sales on hpl , to d & h gas company
>
> ( embedded
> image moved ( embedded image moved to file : pico 0491 . pcx )
> to file :
> pico 9961 . pcx )
>
>
>
>
>
>
> julie -
> need your help again . . . .
> d & h gas company , faxed their 05 / 01 volume support for hpl meter 428
> ( 980428 ) , whihc reflects ena gas sales to d & h for 5 / 11 / 01 , 143 mmbtu
> and
> 5 / 31 / 01 for 286 mmbtu for a total of 429 mmbtu for 05 / 01 . he deal last
> month ( 04 / 01 ) , was sa - 70120 . i don ' t have see a sales draft under
> ena or
> hpl for 05 / 01 sales to d & h , nor do i see any 05 / 01 sales deal under
> sa - 70120 .
>
> can you assist me in finding out if there was a sale to d & h in 05 / 01 ,
> and
> if so , what is the deal number and where is sales draft ?
>
> thanks !
> tess
>
>
>
>
>
> - picl 6827 . pcx >
> - pico 9961 . pcx >
> - pico 0491 . pcx >
>
>
>
- picl 6827 . pcx
- pico 9961 . pcx
- pico 0491 . pcx",1
"i admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent's complaint .",1
"reassuring , retro uplifter .",1
"Subject: second revision to my spreadsheet - changes to previous one are
noted as rev 2
revisions to devon # ' s .
beverly
- - - - - - - - - - - - - - - - - - - - - - forwarded by beverly beaty / hou / ect on 11 / 29 / 2000 09 : 57
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp .
from : "" victor haley ""
11 / 29 / 2000 10 : 54 am
to :
cc :
subject : second revision to my spreadsheet - changes to previous one are noted
as rev 2
second revision to my spreadsheet - changes to previous one are noted as rev
2
- enronavailsl 200 pools . xls",0
"the problems of the people in love in the time of money are hardly specific to their era . they just have problems , which are neither original nor are presented in convincing way .",0
essentially a collection of bits -- and they're all naughty .,0
"too slow for a younger crowd , too shallow for an older one .",0
"how many more times will indie filmmakers subject us to boring , self-important stories of how horrible we are to ourselves and each other ?",0
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .",1
"lazy , miserable and smug . this is one of the biggest disappointments of the year .",0
"Subject: ngi article on auction
ngi ' s daily gas price index
breaking news : posted jan 9 , 2 : 28 pm
dynegy not opposed to enron auction ; senate subcommittee to issue 51 subpoenas
nearly 20 of bankrupt enron corp . ' s creditors have apparently filed motions to delay the scheduled auction of the company ' s trading assets this week , but one - time merger partner and creditor dynegy corp . will not be one of them , a spokesman said wednesday . however , whether the auction proceeds as planned , enron is facing more obstacles on the legal front with 51 subpoenas requesting documents expected to be issued friday by the senate ' s permanent subcommittee on investigations .
the u . s . bankruptcy court for the southern district of new york has been asked by the creditors to delay approving any offer for enron ' s trading business , once the most profitable unit of the company . the motion to delay was requested to allow the creditors time to look at the assets up for sale . included in the auction are assets from its enrononline operation , which enron would like to use in a joint venture with a cash - rich company .
under enron ' s proposal , a 51 % joint venture partner would form a new company with enron to be called new energy trading co . , or netco . enron would contribute information technology and back office systems among other things , in exchange for a 49 % stake . as of late monday , ubs ag , citigroup inc . and bp had made bids for some of the assets .
among those opposing the auction , now set for thursday with a decision on the winning bids as early as friday , is the royal bank of scotland group plc , which said , "" absent a disclosure of the intended uses for the proceeds of this sale , the creditors are unable to gauge that the benefits are adequate , appropriate and directed to the proper beneficiaries . "" kansas city , mo - based aquila also is opposed to the auction because of concerns about how the proceeds would be used . aquila wants the auction ' s proceeds put in escrow until it is determined which units of enron receive the money .
however , dynegy does not plan to oppose the auction , said company spokesman steve stengel , who also expressed surprise that any company would want to delay it . "" dynegy has not taken any action to delay the sale of enron ' s trading business , "" he told ngi . stengel also confirmed that the scheduled sale of northern natural gas co . from enron to dynegy is still set to close by the end of january .
still to come is word on who and what documents are being subpoenaed by the senate ' s permanent subcommittee on investigations . the subpoenas will be served on enron , its accounting firm andersen and 49 individual officers , employees and members of the board of directors . the subcommittee is one of five congressional panels investigating the fallen giant along with the u . s . securities and exchange commission , the department of labor and the department of justice .
"" the subcommittee is looking into the role of the officers and board members , the role of the auditors , and the role of special - purpose entities , "" a subcommittee spokesman told reuters . these are some of the same types of things being investigated by the house of representatives financial services committee , the senate commerce committee and the house and senate energy committees . the spokesman said the subpoenas would allow enron and the others "" several weeks "" to respond .",1
"Subject: formosa meter # : 1000
urgent request !
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 08 / 07 / 2000
08 : 44 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : robert e lloyd 08 / 03 / 2000 04 : 48 pm
to : robert e lloyd / hou / ect @ ect
cc :
subject : formosa meter # : 1000
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 08 / 03 / 2000
04 : 47 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : robert e lloyd 08 / 02 / 2000 03 : 48 pm
to : gary w lamphier / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enron , rita
wynne / hou / ect @ ect , howard b camp / hou / ect @ ect
subject : formosa meter # : 1000
will there be a buyback ticket for formosa during august 2000 activity .
deal # : 92881 expired july 31 , 2000 .",1
"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story .",0
"Subject: unfinaled sales invoices
here are the spreadsheets for the unfinaled invoices prior to may 2000 .
please notify me of any discrepancies . we will send out unfinaled purchases
next week .
thanks .",1
"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction .",0
the film's only missteps come from the script's insistence on providing deep emotional motivation for each and every one of abagnale's antics .,1
"possession is in the end an honorable , interesting failure . it falls far short of poetry , but it's not bad prose .",0
". . . pitiful , slapdash disaster . a doa dud from frame one .",0
. . . stumbles over every cheap trick in the book trying to make the outrage come even easier .,0
"Subject: nom 5 / 1 ( revised again ) - eastrans
hpl requested tha we reduce the delivery into hpl ' s carthage cartwheel
agreement to 20 , 000 mmbtu / d for today only . therefore , adjust today ' s nom
into
eastrans
to 35 , 800 mmbtu , increasing to 40 , 800 tomorrow ( the 2 nd ) .
redeliveries will be :
7 , 800 mmbtu / d from fuels cotton vally
8 , 000 into pg & e
20 , 000 at carthage into hpl ' s cartwheel
for 5 / 2 , receipts will be 40 , 800 with redeliveries
as shown below .
the volume for today to be sold by defs is increased
by 5 , 000 at carthage to 8 , 720 . tomorrow will be 3 , 720 .
- - - - - - - - - - - - - - - - - - - - - - forwarded by bruce mcmills / ftworth / pefs / pec on
05 / 01 / 2000
09 : 59 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
bruce mcmills
05 / 01 / 2000 09 : 20 am
to : briley @ enron . com , dfarmer @ enron . com , stacey . neuweiler @ enron . com
cc : chad w . cass / gcs / cec / pec @ pec , william e . speckels / gcs / cec / pec @ pec , jim
i .
fields / gcs / cec / pec @ pec , donna c . spencer / gcs / cec / pec @ pec , cheryl l .
horning / gcs / cec / pec @ pec , michael r . cherry / easttexas / pefs / pec @ pec , julia
a . urbanek / gcs / cec / pec @ pec , cheryl l . horning / gcs / cec / pec @ pec
subject : nom 5 / 1 ( revised ) - eastrans
my understanding is that we have been cut for the lst on hpl ' s transportation
to 8 , 000 mmbtu / d .
therefore , we are reducing our nom for 5 / 1 and following to 40 , 800 mmbtu / d .
the redeliveries are as follows :
7 , 800 from fuels cotton valley
8 , 000 into pg & e
25 , 000 to hpl ' s cartwheel agreement at carthage
for defs ' info , we will have 3 , 720 mmbtu / d available
at the tailgate of carthage for sale .",1
"Subject: duke deliveries to mobil
apparently , we inadvertently rolled the duke delivery to mobil refinery into april and gas flowed to mobil via centana from duke april 1 , 2 , and 3 . i understand that there were no tickets entered into sitara to cover that flow , so i have captured the transaction in sitara utilizing the following tickets :
# 727481 reflects the hplc purchase from duke on centana ' s pipe april 1 , 2 , 3 total volume estimated to be 21 , 490 mm
# 538950 has been updated to show deliveries to mobil refinery off centana ' s pipe for the same time period , same volume
# 727497 reflects hplc selling the gas back to duke ( payback ) at the same price it was purchased , a volume of 10 , 000 mm for 4 / 12 , at meter 7001
please let me know if there are any questions . if i ' ve screwed something up , my apologies ! !",1
"while this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that's more interested in asking questions than in answering them .",1
